Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
107,BENGALURU URBAN,"M/s. Shreyas Machine Tools, ","No. 92/93, 7th Main Road, 3rd Phase, Peenya Industrial Area, Bengaluru- 560 058.",International Organization for Standardization," 75,000 ",2018-19,
108,BENGALURU URBAN,"M/s. Elexion Private Limited,","No. 24, 23rd A Main, JP Nagar 2nd Phase, Bengaluru-560 078.",International Organization for Standardization," 75,000 ",2018-19,
109,BENGALURU URBAN,"M/s. Elexion Private Limited,","No. 24, 23rd A Main, JP Nagar 2nd Phase, Bengaluru-560 078.",International Organization for Standardization," 75,000 ",2018-19,
110,BENGALURU URBAN,"M/s. Elexion Private Limited,","No. 24, 23rd A Main, JP Nagar 2nd Phase, Bengaluru-560 078.",International Organization for Standardization," 75,000 ",2018-19,
111,Belagavi,"M/s. Hubli Metal Works, ","R.S. No. 622/6, Near ashok Iron Works, Plant II, Machhe Industrial Estate, Belgaum- 590014.",International Organization for Standardization," 70,725 ",2019-20,
112,BENGALURU URBAN,"M/s. IM Safety Products Pvt. Ltd., ","#B-105/1, 10th Main Road, 3rd Stage, Peenya Industrial Area, Bangalore-58.",International Organization for Standardization," 74,970 ",2019-20,
113,BENGALURU URBAN,"M/s. Elegant Power Systems & Controls Pvt. Ltd., ","# 51, J.C. Industrial Area, Bikasipura Main Road, Kanakapura Road, Bangalore-560 062.",International Organization for Standardization," 75,000 ",2019-20,
114,BENGALURU URBAN,"M/s. RMC Electronics Pvt. Ltd., ","“Krishna Kusum”, 186/A-1, 7th Main, Peenya Industrial Area, Phase 3,  Bangalore- 560 058.",International Organization for Standardization," 75,000 ",2019-20,
115,TUMAKURU,"M/s. Filtrec Bharat Manufacturing Pvt. Ltd., ","1st Phase, Road No. 30, Plot No. 142 & 143, Vasanthanarasapura Industrial Area, Nagenahalli Village, Kora Hobli, Tumkur- 572138",International Organization for Standardization," 75,000 ",2019-20,
116,BENGALURU URBAN,"M/s. Essar Caps, ","# 99& 100, Byraveshwara Industrial Estate, 16th Cross, Andrahalli Main Road, Peeny 2nd Stage, Bengaluru- 560 091.",International Organization for Standardization," 75,000 ",2019-20,
117,DHARWAD,"M/s. Hara Engineering,","No: 125/A, 2nd Phase, Tarihal Inustrial Area, Hubli- 580 026, Dharwada.",International Organization for Standardization," 51,000 ",2019-20,
118,BENGALURU URBAN,"M/s. Aura Enterprises,","# No. 65/2, 9th Cross, 4th Main Road, Kaveripura, Kamakshipalya, Bengaluru-560 079.",International Organization for Standardization," 75,000 ",2019-20,
119,BENGALURU URBAN,"M/s. Bright India Steel Industries, ","No: 280, 4th Main, !V Phase, Peenya Industrial Area, Bengaluru- 560 058.",International Organization for Standardization," 61,950 ",2019-20,
120,BENGALURU URBAN,"M/s. Genius Technologies, ","No. 29/1 &2, CML Industrial Layout, Chunchagatta Main Road, Jaraganahalli, Bangalore - 560 062",International Organization for Standardization," 56,190 ",2019-20,
121,BENGALURU URBAN,"M/s. Sri Kaustubha Packaging,","# 708/702, V.V. Ramu Estate, Bommasandra, Bengaluru 560 099.",International Organization for Standardization," 82,458 ",2019-20,
122,BENGALURU URBAN,"M/s. Enviro Serve Pvt. Ltd., ","# 15, Plot No. 9E, Chokkasandra, 2nd Phase, Peenya Industrial Area, Bengaluru - 560 058.",International Organization for Standardization," 60,400 ",2019-20,
